%time,field
1580981432676009893,301.0504
1580981433169399976,301.0504
1580981433681456089,301.0497
1580981434180322885,301.0497
1580981434671668052,301.0491
1580981435170546054,301.0491
1580981435681372880,301.0483
1580981436174345016,301.0483
1580981436673012971,301.0473
1580981437183872938,301.0473
1580981437679821014,301.0461
1580981438175173044,301.0461
1580981438667934894,301.0447
1580981439181149959,301.0447
1580981439677489995,301.0433
1580981440172703981,301.0433
1580981440666882991,301.0418
1580981441176924943,301.0418
1580981441674221992,301.0402
1580981442170475006,301.0402
1580981442664632081,301.0387
1580981443179805040,301.0387
1580981443671053886,301.0373
1580981444166955947,301.0373
1580981444680603981,301.0363
1580981445173388957,301.0363
1580981445671977996,301.0355
1580981446164347887,301.0355
1580981446676373958,301.0347
1580981447175522089,301.0347
1580981447667084932,301.0338
1580981448180994987,301.0338
1580981448673790931,301.033
1580981449171123027,301.033
1580981449683217048,301.0321
1580981450177299022,301.0321
1580981450676248073,301.0313
1580981451167269945,301.0313
1580981451679514884,301.0304
1580981452178946018,301.0304
1580981452673578977,301.0296
1580981453170499086,301.0296
1580981453677244901,301.0287
1580981454174213886,301.0287
1580981454671662092,301.0277
1580981455180469989,301.0277
1580981455678472995,301.0265
1580981456171189069,301.0265
1580981456666086912,301.0252
1580981457180407047,301.0252
1580981457675606966,301.0239
1580981458173515081,301.0239
1580981458680602073,301.0227
1580981459176310062,301.0227
1580981459676039934,301.0214
1580981460183180093,301.0214
1580981460681559085,301.02
1580981461174315929,301.02
1580981461669914007,301.0186
1580981462185059070,301.0186
1580981462676937103,301.0172
1580981463175471067,301.0172
1580981463667327880,301.0157
1580981464178946971,301.0157
1580981464678389072,301.0143
1580981465171855926,301.0143
1580981465682250976,301.0129
1580981466177750110,301.0129
1580981466672516107,301.0116
1580981467172699928,301.0116
1580981467679781913,301.0102
1580981468178086996,301.0102
1580981468670972108,301.0088
1580981469167123079,301.0088
1580981469681555986,301.0074
1580981470174957036,301.0074
1580981470673974037,301.0059
1580981471182091951,301.0059
1580981471676047086,301.0044
1580981472174612045,301.0044
1580981472667910099,301.0028
1580981473180679082,301.0028
1580981473674108982,301.0013
1580981474169972896,301.0013
1580981474681868076,300.9999
1580981475177994012,300.9999
1580981475676194906,300.9985
1580981476167972087,300.9985
1580981476678673028,300.997
1580981477178366899,300.997
1580981477671307086,300.9956
1580981478185868978,300.9956
1580981478677241086,300.9941
1580981479174077033,300.9941
1580981479687968015,300.9927
1580981480181965112,300.9927
1580981480679389953,300.9913
1580981481170437097,300.9913
1580981481682079076,300.9898
1580981482180597066,300.9898
1580981482675534009,300.9884
1580981483173041105,300.9884
1580981483680260896,300.9869
1580981484176714897,300.9869
1580981484676140069,300.9854
