%time,field
1580981506170820951,4811.8858
1580981506681703090,4811.8871
1580981507181272029,4811.8871
1580981507673062086,4811.8883
1580981508187892913,4811.8883
1580981508680188894,4811.8896
1580981509175766944,4811.8896
1580981509675728082,4811.8909
1580981510182468891,4811.8909
1580981510681529998,4811.8921
1580981511173542022,4811.8921
1580981511685388088,4811.8933
1580981512183152914,4811.8933
1580981512678955078,4811.8945
1580981513176799058,4811.8945
1580981513685410976,4811.8957
1580981514179080963,4811.8957
1580981514679291009,4811.8969
1580981515187362909,4811.8969
1580981515685652971,4811.8981
1580981516176968097,4811.8981
1580981516673820018,4811.8993
1580981517187208890,4811.8993
1580981517681031942,4811.9005
1580981518180088043,4811.9005
1580981518686873912,4811.9017
1580981519182420969,4811.9017
1580981519680253982,4811.9029
1580981520174931049,4811.9029
1580981520687413930,4811.9042
1580981521180969953,4811.9042
1580981521676026105,4811.9054
1580981522175868988,4811.9054
